number,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
0,Grenade,KrazyPortuguese,5,657725.1,146275.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,823,KrazyPortuguese,5,657725.1,146275.2
1,SCAR-L,nide2Bxiaojiejie,31,93091.37,722236.4,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,194,X3evolution,33,92238.68,723375.1
2,S686,Ascholes,43,366921.4,421623.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,103,CtrlZee,46,367304.5,421216.1
3,Down and Out,Weirdo7777,9,472014.2,313274.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1018,BlackDpre,13,476645.9,316758.4
4,M416,Solayuki1,9,473357.8,318340.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1018,Vjolt,13,473588.5,318418.8
5,Punch,xuezhiqian717,26,721944.4,359575.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,123,PurplePenguin9,47,0,0
6,AKM,pdfjkkvjk,12,376333.8,317858.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,886,JoeyJoeman,15,372808.3,297124.2
7,S686,xiaogao13,27,373125.3,433540.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,137,BNOISE,38,373125.8,433608.8
8,S686,Jingchita,40,370990.6,424074.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,89,OmGiTzPauly,47,370761.1,423662.1
9,AKM,Alexande-999,25,368799.3,420810.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,117,Ascholes,43,368015,421322.6
10,Punch,NameLessisME,8,434351.8,278681.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,165,Haten-Gu,28,434383.5,278608.1
11,P92,Daerljgodi,20,365983.6,439563.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,111,BigBeefyy,38,366246.5,439890.6
12,S686,JoyFeng-,3,363435.6,423069.7,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,406,WalrusInHeat,23,363666.7,423256.1
13,M416,NameLessisME,8,374980.3,293019.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,883,Dinostoned,15,375053.3,293151.7
14,Down and Out,UrGrandFather,14,535680.8,368517.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,751,Pis22,,533947.6,366812.6
15,Punch,xuezhiqian717,26,725042.3,361510.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,139,patrickmoneyy,47,0,0
16,Win94,FantasticBoys,2,384599.4,437149.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,127,ImSoPhamcy,42,383677.7,443822.2
17,M416,PPPIGFEET,26,363133.9,430829.4,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,229,Northidaho,30,363109.9,430999.2
18,M16A4,EnGliSh22,5,582324.7,251006.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1181,BuckFutt22,11,584332.7,252824
19,S12K,Bookinga,44,371186.5,423791.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,97,BergerBoi,47,371092.2,423650.7
20,Hit by Car,EnGliSh22,5,585668.6,255305.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1168,DjmikeC25,11,585531.9,254955.9
21,S686,AbelZz,40,369312.9,423919.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,105,Bookinga,44,370673.2,423840.2
22,death.WeapSawnoff_C,WuGangFeng,27,367909.7,429321.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,248,Thee_Milk_Man,23,367964.2,429490.9
23,Kar98k,DouYuTV-SeaL,1,537062.8,262886.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1339,ZachOnTitan,7,531516.6,261727.1
24,Kar98k,Summertime333,10,523742.6,358413.7,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,935,UrGrandFather,14,539250.9,369010.5
25,M416,DouYuTV-SeaL,1,537040.3,262955.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1467,Reesman22,7,531858.7,259386.2
26,M16A4,zhuyi1993,29,432964.9,552600.4,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,183,A_Araujo,34,433768.5,549469.6
27,Punch,nide2Bxiaojiejie,31,85697.73,711625.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,158,KCannon98,33,85646.66,711693
28,Down and Out,WellSuited,35,380787.1,445621.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,127,Ninjakirby,42,383263.8,444835.7
29,Kar98k,DouYuTV-SeaL,1,566307.3,267828,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1609,EnGliSh22,5,581870.3,262490.8
30,Tommy Gun,zhuyi1993,29,432354.2,552524.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,175,HKR-iNexxT,34,432617.8,552224.6
31,SCAR-L,TONGLIANGZHI,10,533994.9,367667.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,986,Piece_of_Sht,14,534734.3,366406.6
32,Down and Out,LowGe,3,367694.3,421260.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,357,PPPIGFEET,26,363426,420061.2
33,S1897,Corleone_Wu,1,470378.2,363769.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,368,china_lml520ad,24,469077.3,364668.5
34,AKM,g0f55,25,368738.8,417488.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,357,jinze,26,368821.4,417726.5
35,Down and Out,TONGLIANGZHI,10,471184.8,359439.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,644,Corleone_Wu,,470963.8,354800.2
36,Grenade,TONGLIANGZHI,10,471265.5,359205.4,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,642,SAOZISHUIZHENDUO,,471033,354114.8
37,S686,NET_MANHDUNG2,1,366106.7,438907.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,411,HandsomeBi,22,366301.9,438846.4
38,Bluezone,IdiotWHJ,6,557525.2,304430.7,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1518,FantasticBoys,2,551213.4,319105.2
39,Down and Out,AbelZz,40,369005.9,424291.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,103,1000level,45,367875,424299.3
40,M16A4,NET_MANHDUNG2,1,365733.5,440216.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,443,FreshMelonBalls,22,366082.4,440142.2
41,SCAR-L,Piece_of_Sht,14,535224.7,364994.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,654,LuToRious,18,534702.3,364259.2
42,SCAR-L,UrGrandFather,14,534154.8,369219.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,610,SuccMeOffSki,18,534507.9,365915
43,M416,LowGe,3,368297.1,421150.7,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,361,g0f55,25,367489,416852.1
44,Bluezone,,,,,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,879,xuezhiqian717,26,0,0
45,S686,Ascholes,43,367649.3,421192.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,96,NorthernGriz,46,368288.5,421208.9
46,M416,DouYuTV-SeaL,1,567049.2,290710.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1966,TedHQW,2,564992.1,290137.1
47,M416,98888888kK,7,570506.3,300499.4,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1560,IdiotWHJ,6,562046.8,303647
48,Win94,WalrusInHeat,23,367829.1,429801.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,211,Sugar_Booger423,32,369624.7,434335.9
49,Down and Out,JoyFeng-,3,366462.9,423587.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,199,NoParkingHere,30,364521.4,424906.5
50,Down and Out,ImSoPhamcy,42,383678.6,444768.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,144,heavychevyz7197,35,383871.9,444276.9
51,S686,LowGe,3,371549.9,423493.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,103,SADEX,45,371355.5,423288.6
52,SCAR-L,FantasticBoys,2,526263.6,345763.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1244,Solayuki1,9,527243.9,346417.4
53,Punch,xuezhiqian717,26,725012.6,361189.7,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,134,xXtentacionXx,47,0,0
54,AKM,Alexande-999,25,361569.7,419730,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,167,Newblacen,36,361278.9,419166.9
55,Grenade,MeLeeXH,1,568047.1,288962.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1944,LowGe,3,567814.8,294379.8
56,Down and Out,TedHQW,2,559462.1,313402.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1539,Kroy2005,6,561293.3,306626.6
57,Grenade,nide2Bxiaojiejie,31,90925.14,722112.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,215,nide2Bxiaojiejie,31,90925.14,722112.9
58,Micro UZI,NoParkingHere,30,366649.1,424968.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,102,Dszs,44,366968.4,425042.9
59,M16A4,NET_MANHDUNG2,1,376429.3,434734.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,131,Sichuanxlg,41,376344.8,434978.8
60,M16A4,TedHQW,2,524288.7,346538.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1244,Weirdo7777,9,526412.1,346504.1
61,S12K,Hcl211,8,438757.9,280729.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,235,SBSB123,28,439254.2,280726.3
62,Down and Out,NameLessisME,8,375099.8,292415.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1010,Hcl211,8,375254.8,292389.7
63,S686,xiaogao13,27,373104.3,433791.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,126,dinkeing,41,373038.9,433880.9
64,Tommy Gun,TedHQW,2,383953.1,444024.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,170,WellSuited,35,383583.5,444753.6
65,M416,JoyFeng-,3,362688.8,434332.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,552,NET_MANHDUNG2,,362263.2,434470.6
66,Punch,X3evolution,33,86343.59,708670.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,125,34DTrueDamage,31,86358.76,708756.7
67,SCAR-L,IdiotWHJ,6,498826.8,308124.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1263,NameLessisME,8,501133.5,308250.4
68,P1911,Sugar_Booger423,32,372348.2,432944.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,164,xiaogao13,27,372473.6,433406.3
69,Down and Out,JoyFeng-,3,362936.8,434318.4,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,553,Games_414_TQ1,,362179.2,436248.2
70,AKM,Alexande-999,25,369184.6,421062.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,113,MoNKeY203tG,43,368332,421274.5
71,Down and Out,FantasticBoys,2,524989.9,346106.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1201,TONGLIANGZHI,10,525671.5,345720.4
72,Down and Out,SAOZISHUIZHENDUO,1,473679.1,353759.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,565,LittleMoustache,20,471807.5,356858.3
73,Down and Out,jinze,26,368875.8,417772.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,361,Alexande-999,25,366831.8,416067.8
74,Tommy Gun,SAOZISHUIZHENDUO,1,471470.9,354985.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,612,Daerljgodi,20,470767.8,356513.6
75,Down and Out,LowGe,3,371343.4,424315.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,134,Jingchita,40,371384,423285.3
76,Bluezone,,,,,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1646,zd1994925,7,0,0
77,SCAR-L,Piece_of_Sht,14,535194.3,365380,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,749,chenpan007,,533893.9,367672.1
78,Down and Out,,,,,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,879,WOJIAOLIGUAPI,26,0,0
79,Win94,WalrusInHeat,23,367716.3,428741.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,256,WuGangFeng,27,367762.2,428378.7
